,score,f_mother_age,f_mother_education_level,f_number_of_tech_at_home,f_extent_of_books_at_home,f_ESCS,f_frequency_of_books_at_home,f_extent_of_interest_in_interview,f_frequency_of_support_at_home
2101,0.4523076861292312,0.40384615384615385,0.625,0.25,0.25,0.5629977762055545,0.4444444444444443,1.0,1.0
2102,0.4307692616615365,0.25,0.25,0.4,0.25,0.32019320430881065,0.6666666666666666,1.0,0.75
2103,0.3984616249599945,0.5,0.375,0.45,0.5,0.48912924726392665,0.4444444444444443,0.8333333333333334,0.8333333333333334
2106,0.5492309051569144,0.5192307692307693,0.75,0.2,0.5,0.6559792232240697,0.6666666666666666,0.5833333333333334,0.9166666666666666
2107,0.22153845536000039,0.4230769230769231,0.125,0.1,0.0,0.08631781569603704,0.3333333333333333,0.5833333333333334,0.8333333333333334
2109,0.3753846092061543,0.5769230769230769,0.375,0.15,0.25,0.3822886460728383,0.4444444444444443,1.0,0.8333333333333334
2110,0.541538566572301,0.5576923076923077,0.75,0.2,0.5,0.6089508200166651,0.5555555555555555,0.9166666666666666,0.75
2111,0.544615440221535,0.34615384615384615,0.125,0.2,0.25,0.15821051128322883,0.111111111111111,0.5,0.75
2113,0.5199999876430778,0.5769230769230769,0.25,0.2,0.5,0.6089508200166651,0.111111111111111,1.0,0.75
2114,0.5292307630523081,0.40384615384615385,0.25,0.2,0.5,0.3685440838953975,0.111111111111111,1.0,1.0
2115,0.3969231881353776,0.5,0.375,0.2,1.0,0.6129442786948985,0.2222222222222222,1.0,0.6666666666666666
2116,0.5123076490584642,0.38461538461538464,0.75,0.3,0.75,0.6481515839173616,0.2222222222222222,1.0,1.0
2117,0.5384615384615384,0.46153846153846156,0.375,0.6,1.0,0.7177880988667762,0.3333333333333333,0.6666666666666666,0.8333333333333334
2119,0.7646154587569183,0.38461538461538464,0.25,0.15,0.25,0.33159939727229026,0.2222222222222222,0.25,0.1666666666666666
2121,0.7092308063015361,0.36538461538461536,0.5,0.5,1.0,0.7834550657947891,0.6666666666666666,1.0,1.0
2123,0.45076924930461426,0.5,0.375,0.4,0.5,0.48912924726392665,1.0,0.0833333333333333,0.9166666666666666
2124,0.46769236329845804,0.3269230769230769,0.625,0.2,1.0,0.8003343013014943,0.6666666666666666,1.0,0.8333333333333334
2127,0.3323077602707649,0.5576923076923077,0.25,0.15,0.25,0.33159939727229026,0.4444444444444443,0.9166666666666666,1.0
2128,0.33846150756923277,0.5192307692307693,0.375,0.05,0.5,0.45917384546239304,0.4444444444444443,0.5,0.9166666666666666
2129,0.2830770095753791,0.4807692307692308,0.25,0.5,0.75,0.4554144287032621,0.6666666666666666,1.0,1.0
2130,0.20000003089230578,0.2692307692307692,0.375,0.15,0.0,0.47015810491162446,0.3333333333333333,0.8333333333333334,1.0
2131,0.31230777262768716,0.21153846153846154,0.25,0.2,0.25,0.30663656817991153,0.0,0.6666666666666666,0.9166666666666666
2132,0.42769238801230264,0.2692307692307692,0.125,0.35,0.25,0.4222291760659838,0.3333333333333333,0.6666666666666666,0.3333333333333333
2133,0.34769228297846316,0.5384615384615384,0.625,0.2,0.5,0.5588945662343283,0.2222222222222222,1.0,1.0
2134,0.4153845844923097,0.34615384615384615,0.25,0.15,0.5,0.3685440838953975,0.5555555555555555,1.0,1.0
2135,0.4707692369476919,0.40384615384615385,0.25,0.2,0.5,0.3685440838953975,0.2222222222222222,0.75,0.9166666666666666
2136,0.5646154278646127,0.46153846153846156,0.625,0.3,0.75,0.7281566761292919,0.5555555555555555,0.4444444444444443,0.5833333333333334
2137,0.38615382144000165,0.34615384615384615,0.0,0.2,0.25,0.09254354435521589,0.3333333333333333,0.25,0.75
2138,0.39384616002461503,0.5,0.25,0.25,0.0,0.19480346318646027,0.4444444444444443,0.8333333333333334,1.0
2139,0.5030770281107624,0.6538461538461539,0.75,0.3,0.75,0.48536983050479576,0.2222222222222222,0.6666666666666666,0.8333333333333334
2140,0.38923084955076415,0.36538461538461536,0.75,0.45,0.5,0.6559792232240697,0.2222222222222222,1.0,0.9166666666666666
2141,0.46307689836307847,0.36538461538461536,0.5,0.25,0.25,0.49288868124975566,0.4444444444444443,0.5833333333333334,0.8333333333333334
2142,0.27538467099076575,0.3076923076923077,0.875,0.1,0.25,0.313351638422634,0.7777777777777777,0.5,0.8888888888888888
2143,0.7307692307692307,0.4230769230769231,0.5,0.7,0.75,0.6167036954540295,0.3333333333333333,0.75,0.5833333333333334
2144,0.42923082483691954,0.2692307692307692,0.375,0.35,0.25,0.3723035006545284,0.3333333333333333,0.75,0.6666666666666666
2146,0.38923084955076415,0.38461538461538464,0.25,0.2,0.5,0.3186184257106401,0.4444444444444443,1.0,0.75
2147,0.6553847451322995,0.5192307692307693,0.75,0.35,1.0,0.6129442786948985,0.5555555555555555,0.6666666666666666,0.5
2148,0.22153845536000039,0.36538461538461536,0.5,0.35,0.25,0.49288868124975566,0.2222222222222222,0.9166666666666666,0.9166666666666666
2149,0.7784615446399996,0.46153846153846156,0.75,0.2,0.5,0.48954842450649394,0.4444444444444443,0.9166666666666666,0.4166666666666667
2150,1.0,0.40384615384615385,0.875,0.35,0.5,0.5939731191158983,0.3333333333333333,1.0,0.75
2151,0.3569230583876935,0.25,0.375,0.35,0.5,0.48912924726392665,0.111111111111111,0.0,0.3333333333333333
2152,0.24923078158769157,0.17307692307692307,0.125,0.35,0.0,0.12625843182267255,0.111111111111111,0.4166666666666667,0.75
2153,0.5369231016369215,0.4807692307692308,0.5,0.15,0.5,0.5547961797385436,0.6666666666666666,0.9166666666666666,0.75
2154,0.27230779734153177,0.3269230769230769,0.375,0.4,0.25,0.32237785969646904,0.7777777777777777,1.0,1.0
2155,0.4553847142399936,0.4807692307692308,0.75,0.55,0.75,0.7281566761292919,0.3333333333333333,0.6666666666666666,0.9166666666666666
2156,0.44153847389538375,0.46153846153846156,0.875,0.3,0.75,0.7073528542829792,0.6666666666666666,1.0,1.0
2157,0.6215385171446118,0.5192307692307693,0.75,0.35,1.0,0.7984328183756499,0.4444444444444443,1.0,0.6666666666666666
2159,0.6384616311384556,0.4807692307692308,0.25,0.15,0.25,0.32019320430881065,0.2222222222222222,0.1666666666666666,0.75
2160,0.45692315106461073,0.34615384615384615,0.625,0.25,0.5,0.6089508200166651,0.3333333333333333,0.8333333333333334,0.75
2161,0.46769236329845804,0.4230769230769231,0.375,0.15,0.0,0.2604702578474931,0.3333333333333333,1.0,1.0
2162,0.34461540932922924,0.4423076923076923,0.125,0.4,0.5,0.28002876169498997,0.111111111111111,0.0833333333333333,0.9166666666666666
2163,0.22153845536000039,0.4807692307692308,0.875,0.3,0.5,0.6559792232240697,0.2222222222222222,0.0,0.25
2165,0.5353846648123046,0.38461538461538464,0.625,0.6,0.75,0.6009624383908679,0.2222222222222222,0.9166666666666666,0.8333333333333334
2170,0.5799999505723108,0.4423076923076923,0.25,0.25,0.5,0.6089508200166651,0.7777777777777777,1.0,1.0
2171,0.4246155143630686,0.28846153846153844,0.375,0.6,0.25,0.48713251792481,0.5555555555555555,1.0,1.0
2172,0.4476923756553802,0.4230769230769231,0.875,0.25,1.0,0.7032496270850549,0.5555555555555555,0.75,0.6666666666666666
2173,0.5538462156307652,0.4230769230769231,0.375,0.2,0.25,0.44795557854745516,0.5555555555555555,0.4166666666666667,1.0
2175,0.7446154711138405,0.4807692307692308,0.75,0.35,0.5,0.6559792232240697,0.3333333333333333,0.6666666666666666,0.9166666666666666
2176,0.2784615446399996,0.34615384615384615,0.25,0.25,0.0,0.24231710802328296,0.2222222222222222,0.5833333333333334,0.8333333333333334
2177,0.501538436824617,0.1346153846153846,0.25,0.2,0.5,0.3186184257106401,0.6666666666666666,1.0,0.7777777777777777
2178,0.7307692307692307,0.5384615384615384,0.375,0.2,0.5,0.4342110163700144,0.7777777777777777,1.0,0.8333333333333334
2179,0.34615384615384615,0.4807692307692308,0.5,0.2,0.5,0.5547961797385436,0.0,1.0,1.0
2180,0.42769238801230264,0.17307692307692307,0.875,0.6,0.75,0.5617259807719043,0.0,0.5833333333333334,0.3333333333333333
2182,0.3723077355569203,0.3076923076923077,0.625,0.4,0.75,0.7281566761292919,0.5555555555555555,0.9166666666666666,0.8333333333333334
2183,0.42923082483691954,0.4423076923076923,0.75,0.5,1.0,0.6670988845196241,0.4444444444444443,0.9166666666666666,0.8333333333333334
2184,0.5276923262276911,0.15384615384615385,0.375,0.15,0.0,0.2604702578474931,0.5555555555555555,0.8333333333333334,0.9166666666666666
2185,0.44461534754461784,0.36538461538461536,0.125,0.45,0.5,0.3199693261415315,0.111111111111111,0.6666666666666666,1.0
2186,0.7046154958276851,0.4423076923076923,0.75,0.3,1.0,0.8003343013014943,0.3333333333333333,0.3333333333333333,0.4166666666666667
2187,0.42769238801230264,0.17307692307692307,0.25,0.25,0.25,0.30663656817991153,0.5555555555555555,0.8333333333333334,0.8333333333333334
2188,0.7999999691076943,0.28846153846153844,0.375,0.1,0.75,0.5460441902702576,0.7777777777777777,0.9166666666666666,0.9166666666666666
2190,0.4138461476676928,0.3076923076923077,0.375,0.25,0.25,0.3523332442713047,0.7777777777777777,1.0,0.8333333333333334
2194,0.5046154649353796,0.38461538461538464,0.75,0.3,0.5,0.674617821398074,0.4444444444444443,0.5833333333333334,1.0
2195,0.49076922459076966,0.46153846153846156,0.875,0.15,0.5,0.6559792232240697,0.3333333333333333,1.0,1.0
2196,0.6046154031507681,0.21153846153846154,0.125,0.15,0.25,0.20813606610779817,0.3333333333333333,0.8333333333333334,0.25
2197,0.40615380908307935,0.4423076923076923,0.25,0.1,0.25,0.31662169637152343,0.3333333333333333,0.8333333333333334,0.75
2198,0.4523076861292312,0.36538461538461536,0.625,0.15,0.5,0.4441961617883242,0.4444444444444443,1.0,1.0
2199,0.36615383379692384,0.4230769230769231,0.25,0.3,0.25,0.3565622435913669,0.3333333333333333,0.6666666666666666,1.0
2200,0.6292307012676966,0.4423076923076923,0.75,0.75,0.75,0.7281566761292919,0.3333333333333333,0.75,0.75
2202,0.7307692307692307,0.3269230769230769,0.375,0.35,0.5,0.6089508200166651,0.6666666666666666,0.9166666666666666,0.75
2203,0.37076929873230335,0.23076923076923078,0.375,0.3,0.5,0.4142407599867906,0.5555555555555555,1.0,1.0
2204,0.4707692369476919,0.46153846153846156,0.25,0.15,0.25,0.30663656817991153,0.0,1.0,1.0
2205,0.8876922582646185,0.46153846153846156,0.5,0.1,0.5,0.604721855149999,0.6666666666666666,0.75,0.8333333333333334
2206,0.3753846092061543,0.5961538461538461,0.75,0.35,0.25,0.41737085101438554,0.8888888888888888,1.0,1.0
2208,0.6507692801969199,0.4807692307692308,0.625,0.45,0.75,0.4577067854068508,0.2222222222222222,0.3333333333333333,0.75
2209,0.7307692307692307,0.5192307692307693,0.75,0.45,0.5,0.6089508200166651,0.3333333333333333,0.6666666666666666,1.0
2210,0.30461543404307373,0.4807692307692308,0.25,0.3,0.0,0.2447290180110296,0.3333333333333333,1.0,0.75
2211,0.5215384244676947,0.23076923076923078,0.125,0.15,0.25,0.14822540031831494,0.3333333333333333,0.8333333333333334,0.8333333333333334
2213,0.4815384491815393,0.34615384615384615,0.5,0.3,0.25,0.542814339434513,0.6666666666666666,1.0,1.0
2214,0.8061538708676906,0.3269230769230769,0.875,0.45,0.75,0.7281566761292919,0.6666666666666666,0.0833333333333333,0.1666666666666666
2215,0.4107692740184587,0.3076923076923077,0.25,0.5,0.5,0.3685440838953975,1.0,1.0,0.4166666666666667
2216,0.24923078158769157,0.4807692307692308,0.125,0.25,0.5,0.22011792363852672,0.6666666666666666,1.0,1.0
2217,0.5846154155076903,0.4423076923076923,0.5,0.5,1.0,0.6786111422627233,0.5555555555555555,0.5833333333333334,1.0
2220,0.22615392029537992,0.40384615384615385,0.75,0.3,0.0,0.26891254573903656,0.5555555555555555,0.9166666666666666,0.9166666666666666
2221,0.6707692678399977,0.36538461538461536,0.125,0.55,0.5,0.29500651427585084,0.7777777777777777,1.0,0.6666666666666666
2223,0.23538469570461026,0.23076923076923078,0.375,0.3,0.0,0.2604702578474931,0.5555555555555555,0.5833333333333334,1.0
2225,0.7999999691076943,0.34615384615384615,0.25,0.25,0.5,0.3935069129877762,0.4444444444444443,0.25,1.0
2227,0.38769241272614713,0.38461538461538464,0.5,0.2,0.25,0.462933279448222,0.5555555555555555,0.4166666666666667,0.9166666666666666
2228,0.34153853567999526,0.21153846153846154,0.25,0.1,0.0,0.2447290180110296,0.111111111111111,1.0,0.8333333333333334
2229,0.48923078776615275,0.4230769230769231,0.75,0.25,0.5,0.674617821398074,0.4444444444444443,0.8333333333333334,0.8333333333333334
2230,0.5799999505723108,0.4423076923076923,0.75,0.15,0.25,0.5470433215278773,0.2222222222222222,1.0,0.5
2231,0.36615383379692384,0.34615384615384615,0.5,0.35,0.25,0.49288868124975566,0.4444444444444443,1.0,1.0
2232,0.40000006178461145,0.3269230769230769,0.375,0.4,0.25,0.42722173154844073,0.2222222222222222,1.0,1.0
2233,0.46461533518769543,0.17307692307692307,0.375,0.15,0.25,0.3822886460728383,0.5,0.5,0.9166666666666666
2234,0.5738462032738431,0.15384615384615385,0.375,0.3,0.25,0.3723035006545284,0.3333333333333333,1.0,1.0
2236,0.7200000185353834,0.46153846153846156,0.75,0.2,0.5,0.5588945662343283,0.5555555555555555,0.75,0.5833333333333334
2237,0.713846116775387,0.46153846153846156,0.625,0.4,1.0,0.5472773462202817,0.8888888888888888,1.0,0.8333333333333334
2238,0.7184615817107665,0.40384615384615385,0.75,0.4,0.5,0.6559792232240697,0.6666666666666666,0.3333333333333333,0.6666666666666666
2239,0.5861538523323072,0.4807692307692308,0.25,0.3,0.25,0.3523332442713047,0.2222222222222222,0.9166666666666666,1.0
2240,0.5338462279876874,0.4230769230769231,0.375,0.35,0.25,0.3523332442713047,0.3333333333333333,1.0,0.9166666666666666
2241,0.36769242508306943,0.5,0.25,0.15,0.75,0.49611853208550033,0.6666666666666666,1.0,0.8333333333333334
2242,0.4476923756553802,0.40384615384615385,0.75,0.2,0.75,0.6708584390923391,0.5555555555555555,0.9166666666666666,0.9166666666666666
2243,0.6861537905476958,0.3269230769230769,0.75,0.15,1.0,0.7984328183756499,0.5555555555555555,0.75,0.75
2248,0.46923080012307494,0.3076923076923077,0.25,0.0,0.25,0.32019320430881065,0.6666666666666666,1.0,1.0
2249,0.3753846092061543,0.3269230769230769,0.375,0.35,0.25,0.32237785969646904,0.4444444444444443,1.0,1.0
2255,0.2046154958276852,0.40384615384615385,0.375,0.45,0.25,0.5470433215278773,0.3333333333333333,0.8333333333333334,0.9166666666666666
2256,0.6338461662030762,0.34615384615384615,0.75,0.2,0.25,0.2717439258232166,0.4444444444444443,0.9166666666666666,0.8333333333333334
2258,0.4138461476676928,0.5961538461538461,0.5,0.35,0.25,0.44795557854745516,0.3333333333333333,0.9166666666666666,1.0
2259,0.812307772627687,0.4423076923076923,0.75,0.25,0.25,0.6127102540024941,1.0,1.0,0.6666666666666666
2260,0.5507691875200028,0.40384615384615385,0.375,0.3,0.25,0.42722173154844073,0.8888888888888888,0.9166666666666666,0.75
2261,0.5215384244676947,0.5192307692307693,0.25,0.2,0.0,0.19480346318646027,0.111111111111111,0.8333333333333334,1.0
2262,0.3769232004922998,0.19230769230769232,0.375,0.15,0.25,0.3523332442713047,0.4444444444444443,1.0,0.75
2263,0.5169231139938437,0.4230769230769231,0.375,0.2,0.25,0.49239944302640015,0.3333333333333333,1.0,0.8333333333333334
2264,0.5399999752861554,0.5384615384615384,0.625,0.25,0.5,0.6559792232240697,0.7777777777777777,0.5833333333333334,0.8333333333333334
2265,0.5076923385846134,0.4807692307692308,0.875,0.55,0.5,0.5588945662343283,0.3333333333333333,1.0,0.9166666666666666
2267,0.8907692863753811,0.3269230769230769,0.625,0.35,0.5,0.6559792232240697,0.2222222222222222,0.6666666666666666,0.75
2270,0.5538462156307652,0.4807692307692308,0.5,0.2,0.75,0.5118598236020578,0.111111111111111,0.9166666666666666,0.75
2271,0.5861538523323072,0.38461538461538464,0.625,0.25,0.5,0.6559792232240697,0.3333333333333333,1.0,1.0
2272,0.2830770095753791,0.40384615384615385,0.25,0.25,0.0,0.19480346318646027,0.0,1.0,0.75
2273,0.2661538955815353,0.4807692307692308,0.5,0.15,0.0,0.37606293464035745,0.2222222222222222,0.5833333333333334,0.9166666666666666
2274,0.38769241272614713,0.5192307692307693,0.75,0.2,1.0,0.8003343013014943,0.4444444444444443,0.9166666666666666,1.0
2275,0.35846149521231047,0.5769230769230769,0.25,0.3,0.25,0.43797045035584337,0.111111111111111,1.0,0.8333333333333334
2276,0.3753846092061543,0.3076923076923077,0.375,0.35,0.5,0.4342110163700144,0.4444444444444443,1.0,1.0
2277,0.6292307012676966,0.5576923076923077,0.375,0.7,1.0,0.6628699024262599,0.5555555555555555,0.9166666666666666,0.6666666666666666
2279,0.5507691875200028,0.40384615384615385,0.875,0.3,0.5,0.6559792232240697,0.6666666666666666,1.0,0.9166666666666666
2280,0.7338462588799933,0.5,0.25,0.15,0.75,0.380525941426126,0.4444444444444443,0.25,0.9166666666666666
2282,0.5030770281107624,0.2692307692307692,0.5,1.0,0.5,0.5547961797385436,0.2222222222222222,0.5,1.0
2284,0.286153883224613,0.34615384615384615,0.875,0.25,0.25,0.3615547990738238,0.3333333333333333,1.0,0.75
2285,0.7307692307692307,0.34615384615384615,0.75,0.3,0.5,0.42346231478930974,0.5555555555555555,1.0,1.0
2286,0.4938462527015321,0.38461538461538464,0.25,0.35,0.25,0.25671087554175814,0.2222222222222222,1.0,0.8333333333333334
2288,0.501538436824617,0.4807692307692308,0.25,0.35,0.5,0.48413669178146973,0.5555555555555555,0.9166666666666666,1.0
2290,0.5646154278646127,0.23076923076923078,0.625,0.35,0.5,0.48954842450649394,0.7777777777777777,1.0,0.9166666666666666
2291,0.6707692678399977,0.34615384615384615,0.625,0.25,0.5,0.5432838875420483,0.3333333333333333,0.8333333333333334,1.0
2292,0.4476923756553802,0.5192307692307693,0.125,0.25,0.75,0.44043672780249526,0.4444444444444443,0.9166666666666666,0.75
2293,0.5784615137476938,0.3076923076923077,0.125,0.2,0.25,0.3129800413199579,0.4444444444444443,0.5,0.4166666666666667
2295,0.4200000494276892,0.5384615384615384,0.5,0.5,1.0,0.633678056787121,0.2222222222222222,0.3333333333333333,0.3333333333333333
2298,0.7369231325292271,0.4230769230769231,0.625,0.7,0.75,0.736525233753372,0.5555555555555555,0.6666666666666666,1.0
2299,0.5830769786830734,0.25,0.75,0.2,0.75,0.41609909003413137,0.7777777777777777,1.0,1.0
2300,0.713846116775387,0.3269230769230769,0.5,0.15,0.0,0.37606293464035745,0.6666666666666666,0.9166666666666666,0.8333333333333334
2304,0.5153846771692268,0.4807692307692308,0.25,0.35,0.25,0.25671087554175814,0.2222222222222222,1.0,0.6666666666666666
2305,0.6292307012676966,0.36538461538461536,0.125,0.2,0.25,0.23309892965357287,0.6666666666666666,0.0833333333333333,1.0
2306,0.6384616311384556,0.5,0.375,0.2,1.0,0.7327658514476371,0.6666666666666666,0.0,0.6666666666666666
2308,0.395384596849232,0.40384615384615385,0.75,0.15,0.5,0.674617821398074,0.8888888888888888,0.75,0.9166666666666666
2311,0.27999998146461663,0.3076923076923077,0.375,0.15,0.25,0.3523332442713047,0.111111111111111,0.9166666666666666,0.5833333333333334
2313,0.4076924003692248,0.4423076923076923,0.25,0.15,0.75,0.4304515996108834,0.5555555555555555,0.5,0.8333333333333334
2315,0.601538529501534,0.36538461538461536,0.375,0.25,0.25,0.3723035006545284,0.4444444444444443,1.0,1.0
2316,0.2815385727507621,0.46153846153846156,0.625,0.2,0.25,0.48137637182656234,0.0,1.0,1.0
2317,0.26307702193230137,0.4423076923076923,0.5,0.2,0.25,0.4180001767459216,0.4444444444444443,1.0,0.9166666666666666
2319,0.812307772627687,0.3269230769230769,0.375,0.35,0.25,0.3723035006545284,0.0,0.4166666666666667,1.0
2320,0.30461543404307373,0.4807692307692308,0.625,0.2,0.5,0.5588945662343283,0.0,0.9166666666666666,0.9166666666666666
2321,0.3800000741415337,0.46153846153846156,0.5,0.15,0.75,0.5418152081768934,0.3333333333333333,0.8333333333333334,1.0
2322,0.2907691936984639,0.5384615384615384,0.25,0.15,0.25,0.25671087554175814,0.111111111111111,0.5,0.6666666666666666
2323,0.5646154278646127,0.46153846153846156,0.875,0.25,0.75,0.7281566761292919,0.4444444444444443,0.5833333333333334,0.75
2326,0.541538566572301,0.40384615384615385,0.375,0.2,0.75,0.5210813784045769,0.4444444444444443,1.0,0.8333333333333334
2328,0.5030770281107624,0.17307692307692307,0.25,0.3,0.25,0.47714738973319815,0.6666666666666666,0.8333333333333334,0.9166666666666666
2331,0.4384616002461499,0.2692307692307692,0.125,0.1,0.25,0.20813606610779817,0.6666666666666666,0.5,1.0
2332,0.6353846030276932,0.3269230769230769,0.5,0.5,0.25,0.542814339434513,0.2222222222222222,1.0,0.8333333333333334
2334,0.6661539573661467,0.38461538461538464,0.625,0.2,0.25,0.5470433215278773,0.3333333333333333,0.9166666666666666,0.8333333333333334
2335,0.39076928637538105,0.5192307692307693,0.375,0.15,0.5,0.5939731191158983,0.3333333333333333,1.0,1.0
2337,0.5876922891569242,0.25,0.125,0.35,0.25,0.15821051128322883,0.6666666666666666,0.5,0.5833333333333334
2338,0.5153846771692268,0.4230769230769231,0.375,0.2,0.5,0.674617821398074,0.6666666666666666,0.8333333333333334,1.0
2341,0.5061539017599964,0.5576923076923077,0.5,0.35,0.5,0.4998779660713293,0.4444444444444443,0.75,0.8333333333333334
2342,0.7107692431261531,0.5961538461538461,0.75,0.4,1.0,0.6339035542640127,0.2222222222222222,0.5,0.8333333333333334
2343,0.17076926783999766,0.38461538461538464,0.375,0.1,0.25,0.3723035006545284,0.5555555555555555,1.0,0.8333333333333334
2344,0.024615452578457216,0.21153846153846154,0.375,0.1,0.25,0.3723035006545284,0.0,0.5833333333333334,0.75
2345,0.5723076119876974,0.5192307692307693,0.25,0.4,0.25,0.33159939727229026,0.6666666666666666,0.25,0.8333333333333334
2346,0.8153846462769212,0.5576923076923077,0.75,0.4,0.25,0.5838016152785652,0.0,0.4166666666666667,1.0
2347,0.5523077788061483,0.40384615384615385,0.375,0.2,0.25,0.3723035006545284,0.4444444444444443,0.9166666666666666,0.75
2348,0.2615385851076844,0.4230769230769231,0.25,0.1,0.25,0.30663656817991153,0.6666666666666666,1.0,1.0
2351,0.7307692307692307,0.3076923076923077,0.5,0.4,0.25,0.542814339434513,0.8888888888888888,1.0,0.9166666666666666
2352,0.7246153290092344,0.40384615384615385,1.0,0.3,0.25,0.7604608692970801,0.111111111111111,0.6666666666666666,0.5833333333333334
2353,0.36769242508306943,0.6923076923076923,1.0,0.3,0.25,0.7604608692970801,0.7777777777777777,0.3333333333333333,0.75
2354,0.48615391411691866,0.2692307692307692,0.5,0.15,0.25,0.49288868124975566,0.2222222222222222,0.6666666666666666,1.0
2356,0.5492309051569144,0.4230769230769231,0.5,0.35,0.25,0.49288868124975566,0.8888888888888888,1.0,0.9166666666666666
2359,0.2292307939446138,0.38461538461538464,0.125,0.15,0.0,0.19480346318646027,0.2222222222222222,1.0,1.0
2361,0.36153852332307296,0.5,0.25,0.35,0.0,0.2547141289759435,0.6666666666666666,0.75,0.5833333333333334
2362,0.4338461353107704,0.46153846153846156,0.75,0.25,0.25,0.5838016152785652,0.4444444444444443,0.9166666666666666,1.0
2364,0.7200000185353834,0.3076923076923077,0.25,0.25,0.25,0.32237785969646904,0.0,0.75,0.8333333333333334
2365,0.6169230522092323,0.4423076923076923,0.75,0.25,0.5,0.8223682816523781,0.6666666666666666,1.0,1.0
2366,0.5723076119876974,0.25,0.5,0.45,0.25,0.542814339434513,0.3333333333333333,1.0,1.0
2368,0.6707692678399977,0.5192307692307693,0.625,0.2,0.5,0.48912924726392665,0.5555555555555555,1.0,0.9166666666666666
2369,0.5815385418584564,0.5384615384615384,0.625,0.3,0.5,0.6089508200166651,0.8888888888888888,1.0,1.0
2371,0.6538461538461537,0.36538461538461536,0.125,0.4,0.5,0.3685440838953975,0.4444444444444443,1.0,0.9166666666666666
2372,0.42923082483691954,0.5192307692307693,0.75,0.2,1.0,0.8003343013014943,0.4444444444444443,0.9166666666666666,1.0
2374,0.3061538708676908,0.4807692307692308,0.375,0.2,0.25,0.43797045035584337,0.5555555555555555,1.0,0.75
2376,0.5092307754092303,0.4807692307692308,0.5,0.45,0.75,0.6666292847319948,0.2222222222222222,0.4166666666666667,0.75
2377,0.49692312635076613,0.3269230769230769,0.375,0.2,0.5,0.5098630942629411,0.4444444444444443,1.0,0.75
2378,0.4138461476676928,0.34615384615384615,0.25,0.15,0.0,0.24231710802328296,0.5555555555555555,0.75,0.75
2379,0.6169230522092323,0.4230769230769231,0.25,0.15,0.25,0.3565622435913669,0.3333333333333333,1.0,1.0
2380,0.681538480073845,0.3076923076923077,0.625,0.2,1.0,0.8003343013014943,0.0,0.75,0.4166666666666667
2382,0.5338462279876874,0.5384615384615384,0.75,0.1,0.5,0.32496189885068644,0.111111111111111,0.8333333333333334,0.8333333333333334
2384,0.37076929873230335,0.19230769230769232,0.375,0.5,0.25,0.3723035006545284,0.5555555555555555,0.5833333333333334,0.9166666666666666
2385,0.42923082483691954,0.46153846153846156,0.125,0.25,0.25,0.18816584417797044,0.3333333333333333,1.0,1.0
2387,0.5815385418584564,0.3076923076923077,0.25,0.35,0.5,0.3685440838953975,0.5555555555555555,0.75,0.9166666666666666
2388,0.4338461353107704,0.46153846153846156,0.875,0.3,1.0,0.7032496270850549,1.0,0.9166666666666666,1.0
2389,0.7307692307692307,0.17307692307692307,0.25,0.1,0.25,0.25671087554175814,0.6666666666666666,0.9166666666666666,1.0
2390,0.4092308371938418,0.4230769230769231,0.375,0.1,0.25,0.3723035006545284,0.0,1.0,1.0
2391,0.4584615878892277,0.5192307692307693,0.75,0.15,0.75,0.6708584390923391,0.4444444444444443,1.0,0.5
2392,0.3784616373169168,0.4230769230769231,0.625,0.75,0.75,0.7281566761292919,1.0,0.8333333333333334,1.0
2393,0.7999999691076943,0.19230769230769232,0.25,0.2,0.25,0.30663656817991153,0.7777777777777777,0.9166666666666666,1.0
2394,0.38769241272614713,0.46153846153846156,0.625,0.3,0.25,0.42722173154844073,0.3333333333333333,0.5833333333333334,0.9166666666666666
2395,0.6615384924307672,0.36538461538461536,0.5,0.15,0.5,0.674617821398074,0.7777777777777777,0.75,1.0
2398,0.649230843372303,0.34615384615384615,0.25,0.25,0.25,0.31662169637152343,1.0,0.9166666666666666,0.9166666666666666
2401,0.3430769725046122,0.40384615384615385,0.125,0.25,0.25,0.30663656817991153,0.5555555555555555,1.0,0.9166666666666666
2404,0.4723076737723088,0.19230769230769232,0.25,0.3,0.25,0.33159939727229026,0.6666666666666666,0.8333333333333334,0.6666666666666666
2405,0.5323077911630705,0.38461538461538464,0.625,0.25,0.5,0.6559792232240697,0.5555555555555555,0.6666666666666666,1.0
2406,0.5353846648123046,0.5384615384615384,0.375,0.15,1.0,0.5380557914177625,0.111111111111111,1.0,0.9166666666666666
2407,0.5338462279876874,0.4807692307692308,0.375,0.05,0.5,0.5390549054486841,0.4444444444444443,1.0,1.0
2408,0.6138461785599985,0.28846153846153844,0.5,0.35,0.75,0.5867483108791939,0.6666666666666666,0.5833333333333334,0.8333333333333334
2409,0.27230779734153177,0.46153846153846156,0.75,0.3,1.0,0.7032496270850549,0.7777777777777777,1.0,0.5
2410,0.5369231016369215,0.28846153846153844,0.25,0.55,0.25,0.42722173154844073,0.3333333333333333,1.0,0.9166666666666666
2411,0.6338461662030762,0.36538461538461536,0.875,0.35,0.5,0.5390549054486841,0.2222222222222222,0.75,0.75
